,time, signalLevel, blinkStrength, attention, meditation, lowGamma, highGamma, highAlpha, delta, highBeta, lowAlpha, lowBeta, theta,Valence,Arousal,Dominance
0,0.7956252098083496,0,0,44,60,7353,5831,3740,165500,8237,17720,10448,32591,0,0,0
1,1.7633788585662842,0,0,30,56,5703,3643,7029,705530,4532,35857,5018,133459,0,0,0
2,2.5771353244781494,0,37,30,56,5703,3643,7029,705530,4532,35857,5018,133459,0,0,0
3,2.767303705215454,0,0,24,67,1226,1929,5646,771288,1846,10260,1726,30293,0,0,0
4,3.763612747192383,0,0,10,50,14400,3358,4969,1183418,16338,11925,21231,195881,0,0,0
5,4.755632400512695,0,0,1,60,2727,2793,81590,252201,10003,1509,22055,63864,0,0,0
6,5.755610704421997,0,0,21,69,1987,1831,12106,152846,7789,15812,15991,15526,0,0,0
7,6.758174896240234,0,0,34,80,1832,4105,12047,303236,8966,25743,8336,26814,0,0,0
8,7.756319999694824,0,0,38,100,2522,3033,17065,50542,5695,13692,8351,9937,0,0,0
9,8.763197183609009,0,0,35,100,5162,1755,28638,32299,3814,44797,10464,8112,0,0,0
10,9.760474681854248,0,0,30,100,2239,2577,6929,19804,6843,25951,3532,19592,0,0,0
11,10.79604458808899,0,0,35,100,3193,3717,47726,15930,16628,26105,27727,17363,0,0,0
12,11.76421070098877,0,0,35,100,3056,2122,12069,86303,9052,33457,7154,11849,0,0,0
13,12.76522946357727,0,0,53,91,2888,3869,9360,118255,12460,15883,6006,16016,0,0,0
14,13.769348621368408,0,0,60,90,7354,4509,13640,19018,6959,7267,9521,4258,0,0,0
15,14.769271612167358,0,0,57,78,3188,7161,13483,310565,9404,8867,9815,35526,0,0,0
16,15.773321866989136,0,0,57,63,618,518,5368,59576,4926,5403,4184,20430,0,0,0
17,16.77513885498047,0,0,47,56,9022,4989,9389,205316,10368,29227,8490,91210,0,0,0
18,17.771032333374023,0,0,34,60,3393,989,31629,58660,3965,13590,14398,10563,0,0,0
19,18.77562189102173,0,0,44,66,4507,1768,15193,45254,26207,22107,12433,13109,0,0,0
20,19.772228479385376,0,0,38,74,1235,1299,7588,17483,3181,10759,7459,19849,0,0,0
21,20.77072501182556,0,0,43,81,2128,2375,13857,79971,8998,24112,5602,28684,0,0,0
22,21.768917560577396,0,0,56,74,6206,1927,11982,32042,12180,10323,8555,11543,0,0,0
23,22.77153778076172,0,0,40,80,2418,2636,6533,17902,2838,20992,12366,2318,0,0,0
24,23.77015495300293,0,0,44,88,2269,1225,11260,127825,5423,20889,7755,12036,0,0,0
25,24.784706354141235,0,0,48,91,3540,2790,20010,39498,8143,20163,10522,10710,0,0,0
26,25.755640745162964,0,0,43,100,925,1033,19445,16448,7084,9060,4603,6305,0,0,0
27,26.753187894821167,0,0,50,88,2722,2268,21986,73216,15144,10629,22610,36218,0,0,0
28,27.78364109992981,0,0,48,78,3411,1929,16596,66650,9341,18242,8047,57694,0,0,0
29,28.780114889144897,0,0,43,80,3429,3293,22225,50580,4379,11135,6150,13043,0,0,0
30,29.76104235649109,0,0,43,80,3429,3293,22225,50580,4379,11135,6150,13043,0,0,0
31,29.762091398239136,0,0,43,80,3429,3293,22225,50580,4379,11135,6150,13043,0,0,0
32,29.762091398239136,0,0,47,74,3144,2079,8308,8150,12341,22667,6660,14743,0,0,0
33,30.77850317955017,0,0,44,66,2763,1686,6007,50504,4045,1332,11812,17896,0,0,0
34,31.77717018127441,0,0,50,67,3420,772,18504,28554,11547,8363,9571,35782,0,0,0
35,34.75389790534973,0,0,38,75,2345,1534,12311,24390,9804,37509,7813,40877,0,0,0
36,35.76165437698364,0,0,23,75,934,1682,7580,29346,3397,24511,9158,45534,0,0,0
37,36.76526713371277,0,0,37,74,2065,1610,11098,54618,13800,6690,4933,15554,0,0,0
38,37.75900673866272,0,0,47,66,3013,2072,4101,14744,6514,9542,12812,5341,0,0,0
39,38.76035499572754,0,0,51,61,1899,1328,9074,89315,8068,13255,5353,25948,0,0,0
40,39.75726127624512,0,0,51,61,1899,1328,9074,89315,8068,13255,5353,25948,0,0,0
41,39.75726127624512,0,0,51,61,1899,1328,9074,89315,8068,13255,5353,25948,0,0,0
42,39.75726127624512,0,0,77,61,3295,1338,4258,26369,11795,11750,9964,7989,0,0,0
43,40.76105189323425,0,0,66,57,2069,1022,10806,48329,7385,9850,8526,34351,0,0,0
44,41.76496982574463,0,0,63,61,1494,2214,8964,36476,11208,19828,8529,15663,0,0,0
45,42.764931201934814,0,0,56,64,1763,2127,24356,53984,8279,35330,21808,38969,0,0,0
46,43.76192927360535,0,0,35,64,4986,1246,22326,82408,4905,15077,25934,49794,0,0,0
47,44.76451730728149,0,0,40,67,6067,776,14353,11254,7026,6502,16940,10319,0,0,0
48,45.76748919487,0,0,20,77,4132,575,32616,69652,3642,49764,15207,23425,0,0,0
49,46.76466965675354,0,0,34,64,2473,937,9624,136449,9380,838,14646,17950,0,0,0
50,47.79452180862427,0,0,34,70,3720,1413,12432,148103,5057,39246,13021,35422,0,0,0
51,48.76731467247009,0,0,21,67,1955,537,22018,28694,5999,16685,12759,67633,0,0,0
52,49.76600098609924,0,0,21,67,1955,537,22018,28694,5999,16685,12759,67633,0,0,0
53,49.76700448989868,0,0,21,67,1955,537,22018,28694,5999,16685,12759,67633,0,0,0
54,49.76700448989868,0,0,30,61,2437,787,10282,50925,4904,19776,5744,17632,0,0,0
55,50.758549451828,0,0,23,63,2880,1241,4831,43358,7030,11482,19827,28753,0,0,0
56,51.75627541542053,0,0,17,57,2550,1759,6406,46021,4921,34967,7862,77011,0,0,0
57,52.75860524177551,0,0,34,63,4366,1088,19507,11862,9687,7542,9840,14740,0,0,0
58,53.757201194763184,0,0,40,53,2875,2602,11156,28524,7129,4089,12116,16440,0,0,0
59,54.75844597816467,0,0,41,70,5829,4187,10498,4187,8700,35020,8268,11258,0,0,0
60,55.78808498382568,0,0,41,60,4349,2981,11284,29215,5945,7437,7675,107622,0,0,0
61,56.750688791275024,0,0,30,60,12255,9173,48371,507340,11547,18414,14405,71769,0,0,0
62,57.78082060813904,0,0,10,44,8515,7176,28933,568673,9526,9607,13603,364163,0,0,0
63,58.74971079826355,0,0,11,21,10233,3410,5578,389358,15755,12332,19579,70464,0,0,0
64,59.77862811088562,0,0,11,21,10233,3410,5578,389358,15755,12332,19579,70464,0,0,0
65,59.77862811088562,0,0,11,21,10233,3410,5578,389358,15755,12332,19579,70464,0,0,0
66,59.77964019775391,0,0,11,17,7682,11663,25051,172888,17332,18157,6772,320062,0,0,0
67,59.83929657936096,0,43,11,17,7682,11663,25051,172888,17332,18157,6772,320062,0,0,0
68,60.75072479248047,0,0,14,20,4614,2663,11217,1249790,5441,21247,14220,15696,4,5,2
69,61.78382158279419,0,0,27,30,1396,1359,3846,206027,2954,7280,7425,23770,4,5,2
70,62.75096440315247,0,0,17,48,1880,2089,24306,83873,7855,29704,7397,47706,4,5,2
71,63.75150108337402,0,0,30,54,1251,736,1345,15252,1957,1959,2220,8844,4,5,2
72,64.75099730491638,0,0,43,40,5065,3572,15105,65120,25073,10109,45214,43990,4,5,2
73,65.78030443191528,0,0,44,43,1911,463,11002,197765,9689,26534,7222,75330,4,5,2
74,66.77291703224182,0,0,60,37,3201,1923,6295,5844,17523,14704,14919,20396,4,5,2
75,67.77386665344238,0,0,64,47,2206,3003,4191,27079,10538,20145,12305,11889,4,5,2
76,68.77469849586487,0,0,63,56,3111,3335,7120,5964,9273,13106,12716,10807,4,5,2
77,69.77379727363586,0,0,63,56,3111,3335,7120,5964,9273,13106,12716,10807,4,5,2
